Page	Functionality	Description	Implemented in dataverse-frontend	Implementation evidence	Implementation notes
Manage Templates	Make Default Template	Sets a template as the default one automatically applied when creating a new dataset in this collection.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Default-template action opens the not-implemented modal.
Manage Templates	Unset Default Template	Removes a template's status as the collection's default template for new datasets.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Default-template action opens the not-implemented modal.
Manage Templates	Preview Template	Opens a read-only dialog showing the metadata fields and terms defined in a template.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Manage Templates	Copy Template	Creates a duplicate of an existing template and opens it for editing under a new name.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Manage Templates	Edit Template Metadata	Opens the template's Metadata tab so its default field values can be changed.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Manage Templates	Edit Template Terms	Opens the template's Terms tab so its default license and terms of use can be changed.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Manage Templates	Delete Template	Opens a confirmation dialog to permanently remove a template that is no longer needed.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Manage Templates	Confirm Delete Template	Permanently deletes the selected template after the user confirms in the warning dialog.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Manage Templates	Cancel Delete Template	Closes the delete confirmation dialog without deleting the template.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Manage Templates	Close Template Preview	Closes the read-only template preview dialog.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Template (Create/Edit)	Create Template and Add Terms	Saves a new template's metadata and proceeds to define its default license and terms of use.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Template (Create/Edit)	Save Template Changes	Saves edits made to a template's metadata fields or terms of use.	Partial	src/sections/templates; src/templates/domain/useCases	Create/copy/delete and edit terms routes exist; metadata edit route is defined but no component route is wired in routes.tsx.
Template (Create/Edit)	Cancel Template Edit	Discards changes and returns to the Manage Templates list without saving.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Template (Create/Edit)	Cancel Template Copy	Discards a just-created copy of a template, deleting it, and returns without keeping the duplicate.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Template (Create/Edit)	Return to Manage Templates	Navigates back to the Manage Templates list from the read-only template view.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Template (Create/Edit)	Switch Between Metadata and Terms Tabs	View the template's default metadata values or its terms of use in separate tabs.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Login Page	Log In	Authenticate with a Dataverse username/email and password to start a session.	Yes	src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	Implemented in the React SPA.
Login Page	Forgot Password	Follow a link to the password reset page to request a reset email.	Partial	src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	Keycloak default pages are included, but no custom reset implementation was found in SPA sections.
Login Page	Log In via Your Institution	Redirect to the institution's discovery service or identity provider list to sign in via Shibboleth.	Partial	src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	OIDC/Keycloak login theme exists; no Dataverse JSF Shibboleth-specific flow was found.
Login Page	Log In via ORCID or Other OAuth Provider	Redirect to ORCID, Google, GitHub, or another configured provider to sign in.	Partial	src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	OIDC/Keycloak login theme exists; no Dataverse JSF Shibboleth-specific flow was found.
Login Page	Switch Login Method	Switch which login option (local, institutional, ORCID, etc.) is displayed on the page.	Partial	src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	OIDC/Keycloak login theme exists; no Dataverse JSF Shibboleth-specific flow was found.
Login Page	Sign Up	Navigate to the account creation form to register a new local account.	Partial	src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx; src/sections/sign-up/valid-token-not-linked-account-form; src/users/domain/useCases/registerUser.ts	Sign-up notice/link and OIDC first-login registration exist; full local account sign-up is not implemented here.
Login Page	Contact Support	Open a contact form to message the support team about institutional or OAuth login issues.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No login-page contact-support action found.
Password Reset	Request Password Reset Email	Submit an email address to receive a password reset link.	Partial	src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	Keycloak default pages likely cover reset, but no custom Dataverse reset SPA implementation was found.
Password Reset	Cancel	Abandon the password reset request and return to the login page.	Partial	src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	Keycloak default pages likely cover reset, but no custom Dataverse reset SPA implementation was found.
Password Reset	Set New Password	Use the emailed reset link to submit a new password, completing the reset or a required password upgrade.	Partial	src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	Keycloak default pages likely cover reset, but no custom Dataverse reset SPA implementation was found.
Confirm Email	Confirm Email Address	Clicking the emailed confirmation link verifies the account's email address and logs the user in.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Confirm-email workflow not found in SPA.
Confirm Email	Go to Account Page	If the confirmation link is invalid or expired, navigate to the account information tab.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Confirm-email workflow not found in SPA.
Institutional Login (Shibboleth)	Create New Account	Create a new Dataverse account using identity attributes supplied by the institution's login, after accepting terms of use.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Shibboleth-specific account creation/conversion flow not found in SPA.
Institutional Login (Shibboleth)	Cancel Account Creation	Abandon institutional account creation and return to the home page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Shibboleth-specific account creation/conversion flow not found in SPA.
Institutional Login (Shibboleth)	Convert Existing Account	Link an existing local username/password account to institutional login by confirming the current password.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Shibboleth-specific account creation/conversion flow not found in SPA.
Institutional Login (Shibboleth)	Forgot Password	Navigate to the password reset page while converting an account to institutional login.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Shibboleth-specific account creation/conversion flow not found in SPA.
OAuth Login Callback	Contact Support	Open a contact form to report an OAuth login error (e.g., ORCID, Google, or GitHub sign-in failure).	Partial	src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	Auth callback redirect is implemented; no callback contact-support UI was found.
Convert Account (OAuth)	Convert Existing Account	Link an existing local username/password account to an OAuth identity by confirming the current password.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	OAuth account conversion flow not found.
Convert Account (OAuth)	Cancel	Abandon linking the account and return to the first-login options page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	OAuth account conversion flow not found.
Create Account (OAuth First Login)	Create New Account	Create a new Dataverse account from the identity information (name, email, ORCID, affiliation) returned by the OAuth provider.	Yes	src/sections/sign-up/valid-token-not-linked-account-form; src/users/domain/useCases/registerUser.ts	Implemented in the React SPA.
ORCID Confirmation	Contact Support	Open a contact form to report an error linking an ORCID iD to the account.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	ORCID confirmation/contact flow not found.
Account Information	Edit Account Information	Open the form to edit the account's name, email, affiliation, and position.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Save Account Changes	Save edited account information such as name, email, affiliation, and position.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Create Account	Submit the sign-up form (username, password, name, email, affiliation, position, terms of use) to create a new local account.	Partial	src/sections/sign-up/valid-token-not-linked-account-form; src/users/domain/useCases/registerUser.ts	OIDC first-login account registration exists; full local account create form was not found.
Account Information	Change Password	Open the form to change the account's password.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Save New Password	Submit the current password and a new password to update the account's login password.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Cancel Edit	Discard changes made in the account edit or password-change form without saving.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Remove ORCID iD	Unlink an authenticated ORCID iD from the account.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Link/Authenticate ORCID iD	Start the ORCID sign-in flow to link an ORCID iD to the current account.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Verify Email Address	Resend a confirmation email to verify the account's current email address.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Account Information	Contact Support	Open a contact form to ask about migrating off Shibboleth or OAuth login to a local account.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Account page currently displays account info; edit/password/ORCID/email actions were not found.
Notifications	Manage Muted Email Notifications	Choose which notification types should stop being sent as email, then save the preference.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Muted notification preference management was not found.
Notifications	Manage Muted In-App Notifications	Choose which notification types should stop appearing in the in-app notifications list, then save the preference.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Muted notification preference management was not found.
Notifications	Remove Notification	Dismiss and delete a single notification from the notifications list.	Yes	src/sections/account/notifications-section; src/notifications/domain/hooks/useNotifications.ts	Implemented in the React SPA.
Notifications	View Notification Target	Click a notification to navigate to the related dataverse, dataset, or file.	Yes	src/sections/account/notifications-section; src/notifications/domain/hooks/useNotifications.ts	Implemented in the React SPA.
API Token	Copy API Token	Copy the current API token to the clipboard.	Yes	src/sections/account/api-token-section; src/users/domain/useCases/getCurrentApiToken.ts; src/users/domain/useCases/recreateApiToken.ts; src/users/domain/useCases/revokeApiToken.ts	Implemented in the React SPA.
API Token	Generate/Regenerate API Token	Create a new API token for the account, replacing any existing token.	Yes	src/sections/account/api-token-section; src/users/domain/useCases/getCurrentApiToken.ts; src/users/domain/useCases/recreateApiToken.ts; src/users/domain/useCases/revokeApiToken.ts	Implemented in the React SPA.
API Token	Revoke API Token	Delete the account's current API token.	Yes	src/sections/account/api-token-section; src/users/domain/useCases/getCurrentApiToken.ts; src/users/domain/useCases/recreateApiToken.ts; src/users/domain/useCases/revokeApiToken.ts	Implemented in the React SPA.
My Data	Search My Data	Enter a keyword and click Find to search dataverses, datasets, and files the user owns or has a role on.	Yes	src/sections/account/my-data-section; src/collection/domain/useCases/getMyDataCollectionItems.ts	Implemented in the React SPA.
My Data	Filter by Object Type	Show or hide results by type: Dataverses, Datasets, or Files.	Yes	src/sections/account/my-data-section; src/collection/domain/useCases/getMyDataCollectionItems.ts	Implemented in the React SPA.
My Data	Filter by Publication Status	Show or hide results by status: Draft, In Review, Unpublished, Published, or Deaccessioned.	Yes	src/sections/account/my-data-section; src/collection/domain/useCases/getMyDataCollectionItems.ts	Implemented in the React SPA.
My Data	Filter by Role	Show or hide results based on the user's role (e.g., Admin, Curator, Contributor) on each item.	Yes	src/sections/account/my-data-section; src/collection/domain/useCases/getMyDataCollectionItems.ts	Implemented in the React SPA.
My Data	Filter by Metadata Validity	Show or hide dataset results based on whether their metadata is complete/valid.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Metadata-validity filter was not found in My Data filters.
My Data	Search Another User's Data	As a superuser, look up the My Data results for a different user by entering their username.	Yes	src/sections/account/my-data-section; src/collection/domain/useCases/getMyDataCollectionItems.ts	Implemented in the React SPA.
My Data	Paginate Results	Move between pages of results using first/previous/next/last or page-number links.	Partial	src/sections/account/my-data-section; src/collection/domain/useCases/getMyDataCollectionItems.ts	My Data uses load-more/infinite accumulation, not classic pagination controls.
My Data	Load More Results	Append the next page of results to the current list instead of replacing it.	Yes	src/sections/account/my-data-section; src/collection/domain/useCases/getMyDataCollectionItems.ts	Implemented in the React SPA.
My Data	Open Result Item	Click a result card to navigate to the corresponding dataverse, dataset, or file page.	Yes	src/sections/account/my-data-section; src/collection/domain/useCases/getMyDataCollectionItems.ts	Implemented in the React SPA.
Manage Permissions	Configure Default Access Settings	Opens a dialog to set the default role auto-granted to authenticated users and the default role for new contributors on a dataverse, then saves the change.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Assign Role	Searches for a user or group and assigns them a chosen role on the current dataverse or dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Remove Role Assignment	Revokes a role previously assigned directly to a user or group on the current dataverse or dataset, after a confirmation prompt.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Create Custom Role	Opens a blank role editor to define a new custom role's name, alias, description, and set of permissions.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Duplicate Role	Opens the role editor pre-filled with an existing role's permissions so the user can create a new role based on it.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Edit Role	Opens the role editor pre-filled with an existing custom role's name, alias, description, and permissions for editing.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Save Role	Saves the name, alias, description, and selected permissions for a newly created or edited custom role.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Permissions	Download Role Assignment History	Downloads a CSV file listing the history of role assignments and revocations for the dataverse or dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage File Permissions	Grant File Access	Assigns file-download access to selected users or groups for one or more chosen restricted files.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage File Permissions	Grant All File Access Requests	Grants file-download access to a user for every restricted file they requested access to, in one click.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage File Permissions	Grant Selected File Access Requests	Grants file-download access to a user for only the specific requested files selected in the dialog.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage File Permissions	Reject All File Access Requests	Rejects a user's pending access requests for every restricted file they requested, in one click.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage File Permissions	Reject Selected File Access Requests	Rejects a user's pending access requests for the specific requested files selected in the dialog.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage File Permissions	Revoke File Access	Removes selected file-level role assignments for chosen users, groups, or files, after a confirmation prompt.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage File Permissions	Toggle Show Deleted Files	Shows or hides deleted file versions in the restricted-files and user/group access lists.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage File Permissions	Toggle Show Access Request History	Shows or hides past (already granted or rejected) file access requests instead of only pending ones.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage File Permissions	Download File Permissions History	Downloads a CSV file listing the history of file-level role assignments and revocations.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Groups	Create Explicit Group	Creates a new explicit group with a name, identifier, description, and initial member users or groups.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Groups	Edit Group Membership	Opens a group's member list, adds new members via search, and saves the updated membership.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Groups	Remove Group Member	Removes a single user or group from an explicit group's member list.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Groups	Delete Group	Permanently deletes an explicit group after a confirmation prompt.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Role Permission Helper	View Role/Permission Matrix	Displays a read-only reference table showing which roles apply to dataverses, datasets, and files and their associated permissions.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Private URL	Create Private URL	Generates a shareable link that lets someone view the draft version of a dataset without logging in or having an account.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Private URL management UI opens not-implemented modal or was not found.
Private URL	Copy Private URL Link	Copies the generated Private URL to the clipboard for sharing.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Private URL management UI opens not-implemented modal or was not found.
Private URL	Disable Private URL	Deletes the existing Private URL so the link no longer grants access to the draft dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Private URL management UI opens not-implemented modal or was not found.
Private URL	Access Dataset via Private URL	Visiting a Private URL link signs the visitor in as a temporary preview user and redirects them to the draft dataset page.	Partial	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	DatasetFactory reads privateUrlToken and loads dataset by token; create/copy/disable UI is not implemented.
Preview URL	Create Anonymized Access Preview URL	Generates a shareable link that lets a reviewer view the draft dataset with author and contributor identifying fields hidden.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Anonymized Preview URL management UI not found.
Preview URL	Copy Preview URL Link	Copies the generated anonymized-access Preview URL to the clipboard for sharing.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Anonymized Preview URL management UI not found.
Preview URL	Disable Preview URL	Deletes the existing anonymized-access Preview URL so the link no longer grants reviewer access.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Anonymized Preview URL management UI not found.
Preview URL	Access Dataset via Preview URL	Visiting a Preview URL link signs the visitor in as a temporary anonymized reviewer and redirects them to the draft dataset with identifying fields hidden.	Partial	src/sections/dataset/Dataset.tsx; src/sections/dataset/DatasetFactory.tsx	Anonymized/private-token view support exists, but preview URL management UI was not found.
Harvesting Clients	Create Harvesting Client (Step 1 - Info)	Enter the OAI server nickname, source name, and URL and validate the connection to begin adding a new harvesting client.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Clients	Create Harvesting Client (Step 2 - Format)	Choose the OAI set and metadata format to harvest from the remote server's advertised options.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Clients	Create Harvesting Client (Step 3 - Schedule)	Set the new client to harvest on demand only, or automatically on a daily or weekly schedule.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Clients	Create Harvesting Client (Step 4 - Display)	Choose a display style for harvested records and finish creating the harvesting client.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Clients	Run Harvest Now	Manually trigger an immediate harvest run for a configured harvesting client.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Clients	Edit Harvesting Client	Reopen the multi-step wizard to modify an existing harvesting client's settings (URL, sets, format, schedule, style, archive info).	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Clients	Save Harvesting Client	Save changes made while editing an existing harvesting client.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Clients	Delete Harvesting Client	Remove a configured harvesting client after confirming in a warning dialog.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Clients	Cancel Harvesting Client Dialog	Close the create/edit harvesting client dialog without saving changes.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Clients	Navigate Wizard Steps	Move forward or backward between the steps of the create/edit harvesting client dialog.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Sets	Toggle Harvesting Server On/Off	Enable or disable this Dataverse installation's OAI-PMH harvesting server (the ability for other repositories to harvest from it).	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Sets	Create OAI Set (Enter Query)	Enter and validate a dataset search query that defines which datasets belong to a new OAI set.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Sets	Create OAI Set (Name & Describe)	Provide a set spec name and description to finish creating a new OAI set.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Sets	Run Set Export Now	Manually trigger export/update of the metadata records belonging to an OAI set.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Sets	Edit OAI Set	Reopen the dialog to modify an existing OAI set's description or underlying query.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Sets	Save OAI Set	Save changes made while editing an existing OAI set.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Sets	Delete OAI Set	Remove a non-default OAI set after confirming in a warning dialog.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Sets	Cancel OAI Set Dialog	Close the create/edit OAI set dialog without saving changes.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Harvesting Sets	Navigate Set Creation Steps	Move back from the name/description step to the query step when creating an OAI set.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Dashboard	View Dashboard Metrics	View summary cards showing counts of harvesting clients, harvested datasets, OAI sets, users, superusers, datasets, and dataverses.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Dashboard	Go to Manage Harvesting Clients	Navigate from the dashboard to the Harvesting Clients management page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Dashboard	Go to Manage Harvesting Server	Navigate from the dashboard to the Harvesting Sets (OAI server) management page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Dashboard	Go to Manage Users	Navigate from the dashboard to the Manage Users page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Dashboard	Go to Move Dataset Tool	Navigate from the dashboard to the tool for moving a dataset between dataverses.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Dashboard	Go to Move Dataverse Tool	Navigate from the dashboard to the tool for moving a dataverse to a new parent.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Users	Search Users	Search the list of registered user accounts by name, email, or other identifying text.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Users	Sort User List	Sort the user list by a chosen field such as name, email, or creation date.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Users	Page Through User List	Move between pages of search results in the user list using first/previous/page-number/next/last controls.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Users	Toggle Superuser Status	Grant or revoke superuser (admin) privileges for a user account, after confirming in a popup dialog.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Users	Cancel Superuser Status Change	Dismiss the superuser status confirmation dialog without applying the change.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Manage Users	Remove All User Roles	Strip all assigned roles from a user account, after confirming in a warning dialog.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Superuser	Index All	Trigger a full re-index of all content (dataverses, datasets, files) into the search index.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Superuser	Check Status of Index All	Check and display the current progress/status of a running or completed full re-index job.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Advanced Search	Search Dataverses by Name/Alias/Affiliation/Description	Lets a user narrow results to collections (dataverses) matching name, identifier, affiliation, or description text fields.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Advanced Search	Filter Dataverses by Subject	Lets a user check one or more subject categories to restrict collection search results to those subjects.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
